name	code
드림텍	192650
더블유게임즈	192080
우리금융지주	316140
에어부산	298690
아시아나IDT	267850
세아제강	306200
하나제약	293480
우진아이엔에스	10400
신한알파리츠	293940
한일시멘트	300720
티웨이항공	91810
롯데정보통신	286940
효성중공업	298040
효성첨단소재	298050
효성티앤씨	298020
효성화학	298000
이리츠코크렙	88260
HDC현대산업개발	294870
애경산업	18250
셀트리온	68270
쿠쿠홈시스	284740
SK케미칼	285130
BGF리테일	282330
동양피스톤	92780
진에어	272450
케이씨텍	281820
동아타이어	282690
삼양패키징	272550
테이팩스	55490
롯데제과	280360
제일약품	271980
카카오	35720
오리온	271560
미원에스씨	268280
경동도시가스	267290
넷마블	251270
오렌지라이프	79440
현대건설기계	267270
현대일렉트릭	267260
현대중공업지주	267250
크라운제과	264900
덴티움	145720
호전실업	111110
핸즈코퍼레이션	143210
두산밥캣	241560
삼성바이오로직스	207940
JW생명과학	234080
화승엔터프라이즈	241590
LS전선아시아	229640
모두투어리츠	204210
일동제약	249420
샘표식품	248170
두올	16740
동서	26960
한국자산신탁	123890
한국토지신탁	34830
해성디에스	195870
용평리조트	70960
해태제과식품	101530
대림씨엔에스	4440
제이에스코퍼레이션	194370
코리아오토글라스	152330
잇츠한불	226320
세진중공업	75580
금호에이치티	214330
제주항공	89590
현대코퍼레이션홀딩스	227840
LIG넥스원	79550
HDC아이콘트롤스	39570
동일제강	2690
AJ네트웍스	95570
이노션	214320
토니모리	214420
미래에셋생명	85620
경보제약	214390
SK디앤디	210980
엔에스쇼핑	138250
세화아이엠씨	145210
한솔제지	213500
디와이파워	210540
삼성물산	28260
씨에스윈드	112610
삼성에스디에스	18260
만도	204320
서연이화	200880
쿠쿠홀딩스	192400
화인베스틸	133820
BGF	27410
코스맥스	192820
종근당	185750
신송홀딩스	6880
아세아시멘트	183190
현대로템	64350
한진칼	180640
NHN엔터테인먼트	181710
JB금융지주	175330
하이골드12호	172580
DSR	155660
한국패러랠	168490
동아에스티	170900
지엠비코리아	13870
CJ헬로	37560
동일고무벨트	163560
한국콜마	161890
한국타이어	161390
애경유화	161000
하이골드8호	159650
AJ렌터카	68400
바다로19호	155900
사조씨푸드	14710
하이골드3호	153360
코오롱머티리얼	144620
한국ANKOR유전	152550
휴비스	79980
케이탑리츠	145270
GS리테일	7070
인터지스	129260
삼양사	145990
하나투어	39130
트러스제7호	140890
에이블씨엔씨	78520
삼원강재	23000
신세계인터내셔날	31430
에이리츠	140910
한국항공우주	47810
롯데하이마트	71840
한세엠케이	69640
코오롱플라스틱	138490
이마트	139480
DGB금융지주	139130
케이티스카이라이프	53210
